10.253.214.9 2026-09-11 23:11:39.017 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1167 after 1.399 ms
10.253.214.9 2026-09-11 23:11:39.117 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.735 ms
10.253.214.9 2026-09-11 23:11:39.118 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.520 ms
10.253.214.9 2026-09-11 23:11:39.118 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.133 ms
10.253.214.9 2026-09-11 23:11:39.118 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.814 ms
10.253.214.9 2026-09-11 23:11:39.119 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.041 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.062 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.119 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1223 after 1.071 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.167 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1223 after 1.355 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.120 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.444 ms
10.253.214.9 2026-09-11 23:11:39.122 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1224 after 1.332 ms
10.253.214.9 2026-09-11 23:11:39.124 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1224 after 3.715 ms
10.253.214.9 2026-09-11 23:11:39.124 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.966 ms
10.253.214.9 2026-09-11 23:11:39.125 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1225 after 1.045 ms
10.253.214.9 2026-09-11 23:11:39.125 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.213 ms
10.253.214.9 2026-09-11 23:11:39.128 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1225 after 3.738 ms
10.253.214.9 2026-09-11 23:11:39.128 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.565 ms
10.253.214.9 2026-09-11 23:11:39.129 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.669 ms
10.253.214.9 2026-09-11 23:11:39.129 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.088 ms
10.253.214.9 2026-09-11 23:11:39.130 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.734 ms
10.253.214.9 2026-09-11 23:11:39.130 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.062 ms
10.253.214.9 2026-09-11 23:11:39.130 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.260 ms
10.253.214.9 2026-09-11 23:11:39.130 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.018 ms
10.253.214.9 2026-09-11 23:11:39.131 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.576 ms
10.253.214.9 2026-09-11 23:11:39.131 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.043 ms
10.253.214.9 2026-09-11 23:11:39.131 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.039 ms
10.253.214.9 2026-09-11 23:11:39.131 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.044 ms
10.253.214.9 2026-09-11 23:11:39.132 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.983 ms
10.253.214.9 2026-09-11 23:11:39.132 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 4.181 ms
10.253.214.9 2026-09-11 23:11:39.133 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.239 ms
10.253.214.9 2026-09-11 23:11:39.133 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.027 ms
10.253.214.9 2026-09-11 23:11:39.133 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 4.159 ms
10.253.214.9 2026-09-11 23:11:39.133 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.036 ms
10.253.214.9 2026-09-11 23:11:39.133 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 4.290 ms
10.253.214.9 2026-09-11 23:11:39.134 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.019 ms
10.253.214.9 2026-09-11 23:11:39.134 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.011 ms
10.253.214.9 2026-09-11 23:11:39.134 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1236 after 1.018 ms
10.253.214.9 2026-09-11 23:11:39.136 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1236 after 2.610 ms
10.253.214.9 2026-09-11 23:11:39.136 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 6.051 ms
10.253.214.9 2026-09-11 23:11:39.137 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.137 UTC [251] authenticator@postgres LOG:  process 251 still waiting for ShareLock on transaction 1237 after 1.030 ms
10.253.214.9 2026-09-11 23:11:39.140 UTC [251] authenticator@postgres LOG:  process 251 acquired ShareLock on transaction 1237 after 3.903 ms
10.253.214.9 2026-09-11 23:11:39.140 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.626 ms
10.253.214.9 2026-09-11 23:11:39.141 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.915 ms
10.253.214.9 2026-09-11 23:11:39.141 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.398 ms
10.253.214.9 2026-09-11 23:11:39.141 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.094 ms
10.253.214.9 2026-09-11 23:11:39.142 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 10.328 ms
10.253.214.9 2026-09-11 23:11:39.143 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.058 ms
10.253.214.9 2026-09-11 23:11:39.143 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1240 after 1.127 ms
10.253.214.9 2026-09-11 23:11:39.146 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1240 after 4.222 ms
10.253.214.9 2026-09-11 23:11:39.146 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.029 ms
10.253.214.9 2026-09-11 23:11:39.147 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.940 ms
10.253.214.9 2026-09-11 23:11:39.147 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.149 ms
10.253.214.9 2026-09-11 23:11:39.148 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.145 ms
10.253.214.9 2026-09-11 23:11:39.148 UTC [255] authenticator@postgres LOG:  process 255 still waiting for ShareLock on transaction 1242 after 1.093 ms
10.253.214.9 2026-09-11 23:11:39.148 UTC [255] authenticator@postgres LOG:  process 255 acquired ShareLock on transaction 1242 after 1.392 ms
10.253.214.9 2026-09-11 23:11:39.148 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.932 ms
10.253.214.9 2026-09-11 23:11:39.149 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1243 after 1.142 ms
10.253.214.9 2026-09-11 23:11:39.150 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1243 after 1.835 ms
10.253.214.9 2026-09-11 23:11:39.151 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.087 ms
10.253.214.9 2026-09-11 23:11:39.151 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.023 ms
10.253.214.9 2026-09-11 23:11:39.152 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.014 ms
10.253.214.9 2026-09-11 23:11:39.152 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.955 ms
10.253.214.9 2026-09-11 23:11:39.153 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.091 ms
10.253.214.9 2026-09-11 23:11:39.153 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.349 ms
10.253.214.9 2026-09-11 23:11:39.156 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1247 after 3.022 ms
10.253.214.9 2026-09-11 23:11:39.158 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.517 ms
10.253.214.9 2026-09-11 23:11:39.158 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.525 ms
10.253.214.9 2026-09-11 23:11:39.166 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1247 after 13.622 ms
10.253.214.9 2026-09-11 23:11:39.166 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 24.912 ms
10.253.214.9 2026-09-11 23:11:39.167 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 20.802 ms
10.253.214.9 2026-09-11 23:11:39.168 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 20.864 ms
10.253.214.9 2026-09-11 23:11:39.168 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.109 ms
10.253.214.9 2026-09-11 23:11:39.168 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 17.922 ms
10.253.214.9 2026-09-11 23:11:39.168 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.180 ms
10.253.214.9 2026-09-11 23:11:39.169 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.262 ms
10.253.214.9 2026-09-11 23:11:39.169 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.043 ms
10.253.214.9 2026-09-11 23:11:39.169 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 17.760 ms
10.253.214.9 2026-09-11 23:11:39.170 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.022 ms
10.253.214.9 2026-09-11 23:11:39.172 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1253 after 2.521 ms
10.253.214.9 2026-09-11 23:11:39.172 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 3.186 ms
10.253.214.9 2026-09-11 23:11:39.173 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1253 after 3.909 ms
10.253.214.9 2026-09-11 23:11:39.173 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 17.172 ms
10.253.214.9 2026-09-11 23:11:39.174 UTC [252] authenticator@postgres LOG:  process 252 still waiting for ShareLock on transaction 1254 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.174 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.090 ms
10.253.214.9 2026-09-11 23:11:39.177 UTC [252] authenticator@postgres LOG:  process 252 acquired ShareLock on transaction 1254 after 3.877 ms
10.253.214.9 2026-09-11 23:11:39.177 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 21.102 ms
10.253.214.9 2026-09-11 23:11:39.178 UTC [253] authenticator@postgres LOG:  process 253 still waiting for ShareLock on transaction 1255 after 1.042 ms
10.253.214.9 2026-09-11 23:11:39.180 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.622 ms
10.253.214.9 2026-09-11 23:11:39.181 UTC [253] authenticator@postgres LOG:  process 253 acquired ShareLock on transaction 1255 after 3.916 ms
10.253.214.9 2026-09-11 23:11:39.181 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.224 ms
10.253.214.9 2026-09-11 23:11:39.182 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.035 ms
10.253.214.9 2026-09-11 23:11:39.182 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1256 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.185 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1256 after 3.877 ms
10.253.214.9 2026-09-11 23:11:39.186 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.752 ms
10.253.214.9 2026-09-11 23:11:39.187 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.848 ms
10.253.214.9 2026-09-11 23:11:39.187 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.025 ms
10.253.214.9 2026-09-11 23:11:39.187 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.071 ms
10.253.214.9 2026-09-11 23:11:39.187 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.907 ms
10.253.214.9 2026-09-11 23:11:39.188 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.019 ms
10.253.214.9 2026-09-11 23:11:39.188 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 19.365 ms
10.253.214.9 2026-09-11 23:11:39.189 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.657 ms
10.253.214.9 2026-09-11 23:11:39.191 UTC [247] authenticator@postgres LOG:  process 247 still waiting for ShareLock on transaction 1261 after 2.259 ms
10.253.214.9 2026-09-11 23:11:39.192 UTC [247] authenticator@postgres LOG:  process 247 acquired ShareLock on transaction 1261 after 3.793 ms
10.253.214.9 2026-09-11 23:11:39.192 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.891 ms
10.253.214.9 2026-09-11 23:11:39.193 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.193 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1262 after 1.074 ms
10.253.214.9 2026-09-11 23:11:39.196 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1262 after 3.855 ms
10.253.214.9 2026-09-11 23:11:39.196 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 18.919 ms
10.253.214.9 2026-09-11 23:11:39.197 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.558 ms
10.253.214.9 2026-09-11 23:11:39.197 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.037 ms
10.253.214.9 2026-09-11 23:11:39.198 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.033 ms
10.253.214.9 2026-09-11 23:11:39.198 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1264 after 1.029 ms
10.253.214.9 2026-09-11 23:11:39.201 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1264 after 4.474 ms
10.253.214.9 2026-09-11 23:11:39.201 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 14.965 ms
10.253.214.9 2026-09-11 23:11:39.202 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.293 ms
10.253.214.9 2026-09-11 23:11:39.202 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.169 ms
10.253.214.9 2026-09-11 23:11:39.202 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.464 ms
10.253.214.9 2026-09-11 23:11:39.202 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.032 ms
10.253.214.9 2026-09-11 23:11:39.203 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.036 ms
10.253.214.9 2026-09-11 23:11:39.203 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.622 ms
10.253.214.9 2026-09-11 23:11:39.204 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.017 ms
10.253.214.9 2026-09-11 23:11:39.205 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.111 ms
10.253.214.9 2026-09-11 23:11:39.205 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 8.870 ms
10.253.214.9 2026-09-11 23:11:39.205 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.040 ms
10.253.214.9 2026-09-11 23:11:39.205 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.037 ms
10.253.214.9 2026-09-11 23:11:39.206 UTC [254] authenticator@postgres LOG:  process 254 still waiting for ShareLock on transaction 1270 after 1.029 ms
10.253.214.9 2026-09-11 23:11:39.208 UTC [254] authenticator@postgres LOG:  process 254 acquired ShareLock on transaction 1270 after 3.114 ms
10.253.214.9 2026-09-11 23:11:39.208 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.546 ms
10.253.214.9 2026-09-11 23:11:39.209 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 7.794 ms
10.253.214.9 2026-09-11 23:11:39.210 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.036 ms
10.253.214.9 2026-09-11 23:11:39.210 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1272 after 1.067 ms
10.253.214.9 2026-09-11 23:11:39.211 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.788 ms
10.253.214.9 2026-09-11 23:11:39.213 UTC [256] authenticator@postgres LOG:  process 256 acquired ShareLock on transaction 1272 after 4.151 ms
10.253.214.9 2026-09-11 23:11:39.213 UTC [255] authenticator@postgres LOG:  process 255 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.612 ms
10.253.214.9 2026-09-11 23:11:39.213 UTC [248] authenticator@postgres LOG:  process 248 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 11.461 ms
10.253.214.9 2026-09-11 23:11:39.214 UTC [254] authenticator@postgres LOG:  process 254 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.036 ms
10.253.214.9 2026-09-11 23:11:39.214 UTC [247] authenticator@postgres LOG:  process 247 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.215 UTC [248] authenticator@postgres LOG:  process 248 still waiting for ShareLock on transaction 1274 after 1.034 ms
10.253.214.9 2026-09-11 23:11:39.217 UTC [248] authenticator@postgres LOG:  process 248 acquired ShareLock on transaction 1274 after 3.564 ms
10.253.214.9 2026-09-11 23:11:39.217 UTC [253] authenticator@postgres LOG:  process 253 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.626 ms
10.253.214.9 2026-09-11 23:11:39.217 UTC [252] authenticator@postgres LOG:  process 252 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.244 ms
10.253.214.9 2026-09-11 23:11:39.218 UTC [256] authenticator@postgres LOG:  process 256 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.031 ms
10.253.214.9 2026-09-11 23:11:39.220 UTC [250] authenticator@postgres LOG:  process 250 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 15.341 ms
10.253.214.9 2026-09-11 23:11:39.221 UTC [250] authenticator@postgres LOG:  process 250 still waiting for ShareLock on transaction 1277 after 1.113 ms
10.253.214.9 2026-09-11 23:11:39.221 UTC [250] authenticator@postgres LOG:  process 250 acquired ShareLock on transaction 1277 after 1.673 ms
10.253.214.9 2026-09-11 23:11:39.221 UTC [249] authenticator@postgres LOG:  process 249 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 13.544 ms
10.253.214.9 2026-09-11 23:11:39.222 UTC [255] authenticator@postgres LOG:  process 255 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.064 ms
10.253.214.9 2026-09-11 23:11:39.222 UTC [253] authenticator@postgres LOG:  process 253 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.022 ms
10.253.214.9 2026-09-11 23:11:39.223 UTC [249] authenticator@postgres LOG:  process 249 still waiting for ShareLock on transaction 1278 after 1.104 ms
10.253.214.9 2026-09-11 23:11:39.224 UTC [248] authenticator@postgres LOG:  process 248 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 2.591 ms
10.253.214.9 2026-09-11 23:11:39.225 UTC [249] authenticator@postgres LOG:  process 249 acquired ShareLock on transaction 1278 after 3.499 ms
10.253.214.9 2026-09-11 23:11:39.225 UTC [251] authenticator@postgres LOG:  process 251 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 16.543 ms
10.253.214.9 2026-09-11 23:11:39.225 UTC [254] authenticator@postgres LOG:  process 254 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.445 ms
10.253.214.9 2026-09-11 23:11:39.226 UTC [247] authenticator@postgres LOG:  process 247 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 12.609 ms
10.253.214.9 2026-09-11 23:11:39.227 UTC [250] authenticator@postgres LOG:  process 250 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.151 ms
10.253.214.9 2026-09-11 23:11:39.227 UTC [252] authenticator@postgres LOG:  process 252 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.619 ms
10.253.214.9 2026-09-11 23:11:39.227 UTC [249] authenticator@postgres LOG:  process 249 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.019 ms
10.253.214.9 2026-09-11 23:11:39.227 UTC [256] authenticator@postgres LOG:  process 256 acquired AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 9.982 ms
10.253.214.9 2026-09-11 23:11:39.228 UTC [251] authenticator@postgres LOG:  process 251 still waiting for AccessExclusiveLock on tuple (0,2) of relation 23136 of database 5 after 1.027 ms
10.253.214.9 2026-09-11 23:11:39.228 UTC [256] authenticator@postgres LOG:  process 256 still waiting for ShareLock on transaction 1282 after 1.022 ms
